Tarih,imdi,Açılış,Yüksek,Düşük,Hac.,Fark 
04.04.2023,19.2271,19.2122,19.2325,19.19,31.99,0.09
03.04.2023,19.2097,19.1993,19.2426,19.175,62.06,0.05
02.04.2023,19.1999,19.1863,19.2167,19.1829,5.29,0.11
31.03.2023,19.1793,19.1877,19.2141,19.1628,46.51,-0.01
30.03.2023,19.181,19.1517,19.2135,19.123,39.19,0.15
29.03.2023,19.1515,19.1246,19.311,19.104,58.12,0.13
28.03.2023,19.1262,19.0964,19.4223,19.0491,45.08,0.11
27.03.2023,19.1043,19.0854,19.3452,19.017,50.69,0.30
24.03.2023,19.0477,19.0608,19.2817,18.9933,32.22,-0.07
23.03.2023,19.0609,19.05,19.1975,18.944,35.04,0.07
22.03.2023,19.048,19.0294,19.2033,18.9447,29.2,0.08
21.03.2023,19.0336,19.0184,19.057,18.9408,35.22,0.09
20.03.2023,19.0171,19.0184,19.0325,18.996,38.93,-0.02
17.03.2023,19.0208,19.0094,19.0429,18.985,32.52,0.08
16.03.2023,19.0061,18.9922,19.0771,18.7525,41.85,0.07
15.03.2023,18.9921,18.979,19.313,18.8919,59.55,0.06
14.03.2023,18.9808,18.9745,19.009,18.8618,38.95,0.02
13.03.2023,18.9763,18.9747,19.074,18.7165,37.66,0.08
10.03.2023,18.9617,18.9704,19.0372,18.6888,53.44,0.01
09.03.2023,18.9598,18.9481,19.0478,18.74,74.29,0.06
08.03.2023,18.9478,18.9256,19.0295,18.9055,78.95,0.12
07.03.2023,18.9243,18.9225,18.9911,18.8556,64.89,0.15
06.03.2023,18.8955,18.9025,18.9293,18.8004,65.89,0.35
03.03.2023,18.8288,18.8947,18.9265,18.787,66.89,-0.33
02.03.2023,18.8908,18.888,18.9367,18.7979,67.89,0.01
01.03.2023,18.8884,18.8872,18.9009,18.866,68.89,0.01
28.02.2023,18.8874,18.889,18.9294,18.8655,69.89,0.00
27.02.2023,18.8866,18.8869,19.0081,18.759,70.89,0.07
24.02.2023,18.8731,18.8854,18.9399,18.7854,71.89,0.00
23.02.2023,18.8735,18.8799,18.9601,18.781,72.89,-0.03
22.02.2023,18.8799,18.8665,18.9413,18.7735,73.89,0.04
21.02.2023,18.8715,18.8834,18.9128,18.6897,,0.02
20.02.2023,18.867,18.8556,18.9133,18.8107,,-0.04
20.02.2023,18.8748,18.8561,18.8946,18.6861,,0.24
17.02.2023,18.8297,18.8481,18.8922,18.68,,0.19
16.02.2023,18.7934,18.8463,18.8917,18.7934,,-0.29
16.02.2023,18.8483,18.8453,18.8843,18.6713,,0.05
15.02.2023,18.838,18.8529,18.9003,18.8289,,-0.07
15.02.2023,18.8513,18.8499,18.9164,18.6654,,-0.02
14.02.2023,18.8551,18.8287,18.9348,18.8013,,0.08
14.02.2023,18.8396,18.8422,18.8669,18.6581,,0.09
13.02.2023,18.823,18.8195,18.8734,18.8053,,-0.09
13.02.2023,18.839,18.8207,18.8584,18.6372,,0.08
10.02.2023,18.8241,18.832,18.8693,18.6404,,0.06
09.02.2023,18.8131,18.8199,18.8559,18.7931,,-0.08
09.02.2023,18.8291,18.8331,18.8458,18.6572,,0.09
08.02.2023,18.8129,18.8239,18.8469,18.7933,,-0.08
08.02.2023,18.8285,18.8251,18.8604,18.6514,,0.12
07.02.2023,18.8062,18.8147,18.8612,18.7837,,-0.09
07.02.2023,18.8229,18.8279,18.849,18.6383,,0.04
06.02.2023,18.8147,18.7661,18.8575,18.7661,,-0.05
06.02.2023,18.8241,18.8276,18.8555,18.6464,,0.00
03.02.2023,18.8236,18.7941,18.8654,18.638,,0.03
02.02.2023,18.8186,18.8031,18.87,18.7782,,0.06
02.02.2023,18.8064,18.8157,18.836,18.6424,,0.02
01.02.2023,18.8023,18.7964,18.832,18.7645,,-0.01
